Temperature,Humidity
31.99,34.66
-5.73,49.31
-7.02,49.96
17.45,88.06
27.48,51.77
37.8,38.57
15.41,28.75
3.56,62.8
-7.9,27.28
14.84,73.02
31.01,22.01
33.66,88.29
-8.3,60.8
34.66,86.04
5.02,24.87
5.3,63.22
1.46,51.92
38.75,85.32
14.35,69.69
1.5,21.72
-5.41,72.56
4.52,74.77
25.3,90.52
17.62,50.28
39.08,91.03
16.56,53.76
-7.26,22.68
23.52,70.07
3.85,89.31
2.95,84.19
12.64,33.33
-6.87,99.9
32.7,65.92
3.43,84.54
17.78,21.43
-6.53,87.31
35.3,85.14
19.36,91.96
20.78,90.98
19.54,65.22
8.17,52.2
19.88,70.65
16.17,91.96
11.43,72.08
5.02,86.21
30.9,87.24
1.34,97.06
10.31,94.09
26.86,42.74
28.37,63.19
18.47,33.94
11.07,20.33
28.76,28.21
-2.42,89.13
3.43,77.8
35.36,24.25
33.86,87.51
39.16,81.61
5.83,25.09
26.96,70.64
37.64,32.62
-4.55,82.61
16.6,77.01
-2.62,38.89
19.17,62.24
7.16,97.7
30.99,79.37
5.26,21.73
26.78,43.46
21.83,54.16
4.43,98.47
32.73,54.76
-6.84,57.57
5.16,66.84
8.61,71.9
28.88,26.78
2.55,44.83
-9.1,58.73
31.21,78.26
18.74,50.03
-3.08,22.22
10.56,23.65
11.94,51.75
-7.49,65.16
23.37,30.2
10.35,67.88
29.06,69.68
5.36,36.56
31.99,95.27
9.61,51.01
21.63,64.98
14.33,93.42
20.04,69.38
14.45,87.69
-4.81,79.44
10.65,25.48
37.11,57.37
27.65,82.14
3.81,89.86
3.64,44.59
